	Amphimedon_UP000007879_400682	Ephydatia_Emu_v1_prots	Human_UP000005640_9606	Niphates_augustus.hints.aa
Number of genes	43437	39329	20600	32068
Number of genes in orthogroups	37875	34934	17125	29736
Number of unassigned genes	5562	4395	3475	2332
Percentage of genes in orthogroups	87.2	88.8	83.1	92.7
Percentage of unassigned genes	12.8	11.2	16.9	7.3
Number of orthogroups containing species	14161	10165	7838	13248
Percentage of orthogroups containing species	66.7	47.9	36.9	62.4
Number of species-specific orthogroups	2630	2978	1674	1991
Number of genes in species-specific orthogroups	12610	20082	8041	8736
Percentage of genes in species-specific orthogroups	29.0	51.1	39.0	27.2


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	7068	11064	13391	7981
'1	7988	4589	4450	7545
'2	3001	2770	1856	2718
'3	1217	888	759	1097
'4	606	490	301	583
'5	342	303	141	365
'6	212	176	86	249
'7	167	121	40	159
'8	94	110	27	138
'9	80	80	21	91
'10	58	73	17	60
11-15	164	222	56	138
16-20	68	114	27	56
21-50	119	190	48	46
51-100	29	27	7	3
101-150	9	6	1	0
151-200	5	2	1	0
201-500	1	4	0	0
501-1000	1	0	0	0
'1001+	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	33.3	52.1	63.1	37.6
'1	37.6	21.6	21.0	35.5
'2	14.1	13.0	8.7	12.8
'3	5.7	4.2	3.6	5.2
'4	2.9	2.3	1.4	2.7
'5	1.6	1.4	0.7	1.7
'6	1.0	0.8	0.4	1.2
'7	0.8	0.6	0.2	0.7
'8	0.4	0.5	0.1	0.7
'9	0.4	0.4	0.1	0.4
'10	0.3	0.3	0.1	0.3
11-15	0.8	1.0	0.3	0.7
16-20	0.3	0.5	0.1	0.3
21-50	0.6	0.9	0.2	0.2
51-100	0.1	0.1	0.0	0.0
101-150	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0
'1	7988	4589	4450	7545
'2	6002	5540	3712	5436
'3	3651	2664	2277	3291
'4	2424	1960	1204	2332
'5	1710	1515	705	1825
'6	1272	1056	516	1494
'7	1169	847	280	1113
'8	752	880	216	1104
'9	720	720	189	819
'10	580	730	170	600
11-15	2101	2789	712	1733
16-20	1199	2034	494	1006
21-50	3673	5775	1477	1228
51-100	1942	1818	445	210
101-150	1051	711	123	0
151-200	802	335	155	0
201-500	250	971	0	0
501-1000	589	0	0	0
'1001+	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0
'1	18.4	11.7	21.6	23.5
'2	13.8	14.1	18.0	17.0
'3	8.4	6.8	11.1	10.3
'4	5.6	5.0	5.8	7.3
'5	3.9	3.9	3.4	5.7
'6	2.9	2.7	2.5	4.7
'7	2.7	2.2	1.4	3.5
'8	1.7	2.2	1.0	3.4
'9	1.7	1.8	0.9	2.6
'10	1.3	1.9	0.8	1.9
11-15	4.8	7.1	3.5	5.4
16-20	2.8	5.2	2.4	3.1
21-50	8.5	14.7	7.2	3.8
51-100	4.5	4.6	2.2	0.7
101-150	2.4	1.8	0.6	0.0
151-200	1.8	0.9	0.8	0.0
201-500	0.6	2.5	0.0	0.0
501-1000	1.4	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0
